"tweet_id","type","probability","text"
1332437755402522630,"Place",0.6542,"Ontario"
1332434896959139840,"Place",0.9866,"Canada"
1332434497728638977,"Person",0.585,"Parm Gill"
1332434497728638977,"Place",0.6906,"Ontario"
1332425592910786562,"Person",0.3955,"Chrystia Freeland"
1332425592910786562,"Place",0.9982,"Toronto"
1332418091196755969,"Place",0.959,"Ontario"
1332405148459655168,"Place",0.8521,"Toronto"
1332404830824968194,"Place",0.8696,"Toronto"
1332404830824968194,"Place",0.3404,"Downtown Yonge"
1332398867481042947,"Place",0.9641,"Canada"
1332392997871292421,"Organization",0.6236,"Ontario Premier"
1332392997871292421,"Person",0.6037,"Doug Ford"
1332391810308726785,"Person",0.3838,"1855 Covid"
1332391810308726785,"Place",0.9928,"Ontario"
1332391810308726785,"Organization",0.8023,"Costco"
1332391738388967426,"Place",0.4907,"British Columbia"
1332391738388967426,"Organization",0.5747,"Sized Business Recovery Grant program"
1332391686719225865,"Place",0.9194,"Durham Ontario"
1332391686719225865,"Person",0.9139,"Erin"
1332391686719225865,"Person",0.8188,"Erin"
1332391548332380160,"Place",0.9557,"Alberta"
1332391548332380160,"Place",0.9906,"Canada"
1332384584210800642,"Place",0.9773,"Canada"
1332383703180455943,"Person",0.9786,"Dave McKay"
1332383703180455943,"Place",0.9713,"Canada"
1332379884383965184,"Place",0.9942,"Toronto"
1332379884383965184,"Place",0.4896,"COVID"
1332379884383965184,"Place",0.7337,"York"
1332379568691408896,"Organization",0.431,"Wally’s World"
1332377984251125760,"Place",0.8805,"Montreal"
1332377215141634049,"Organization",0.4769,"Air Canada"
1332373752135503875,"Organization",0.7279,"Democrat"
1332373752135503875,"Place",0.8977,"Toronto"
1332373198315397121,"Person",0.9616,"Brad Lickman"
1332373198315397121,"Place",0.9514,"Canada"
1332372967595106309,"Place",0.973,"Canada"
1332372426169217026,"Place",0.599,"Red-Control"
1332370663416291328,"Place",0.9051,"Toronto"
1332370663416291328,"Person",0.4879,"Covid"
1332365834199580673,"Place",0.9936,"Canada"
1332365834199580673,"Place",0.9954,"Australia"
1332364688609349633,"Organization",0.5834,"Air Canada"
