"tweet_id","text","created_at"
1332437755402522630,"This is a good example of big business working around the Ontario government. How will reporting work?    https://t.co/Hf3Ujlynqg","2020-11-27T21:34:51.000Z"
1332434896959139840,"@JessicaBerlette @NaheedD There are 777 people under 50 currently in ICU in Canada.  It is highly unlikely that even 1% of those people will die.  But I can guarantee the suicide rate for small business owners is going to skyrocket if this continues. https://t.co/c7yhNGH9C3","2020-11-27T21:23:29.000Z"
1332434497728638977,"Join us for a COVID-19 Virtual Business Forum on Wednesday, Dec 2 with #MiltonON MPP @ParmGill.

MPP Parm Gill will share info on the recent announcements from the Ontario government and will address any questions or concerns you may have.

Register at: https://t.co/f1B7JClRbB https://t.co/GlBAMZnR3U","2020-11-27T21:21:54.000Z"
1332426981481340930,"Don't go it alone - find COVID business relief here #smallbiz #shop124street https://t.co/a3dW1sUGfO https://t.co/saJdyWHPKA","2020-11-27T20:52:02.000Z"
1332425592910786562,"Chrystia Freeland: Expansion of covid related subsidies to new businesses - Sign the Petition! https://t.co/o7PnnfV8TG via @CdnChange 
An #Armenian 🇦🇲 small business in Toronto needs our help! Sign this please❤️","2020-11-27T20:46:31.000Z"
1332418091196755969,"@fordnation stop distracting the people of Ontario with the vaccines !!! Talk about 1855 covid numbers! And the open schools and the closed small business,!!!!!! https://t.co/H3B8pucsu7","2020-11-27T20:16:42.000Z"
1332412973751668737,"How COVID-19 is shaking up global migration - https://t.co/0OfGCTQaf7 COVID-19 is shaking up global migration","2020-11-27T19:56:22.000Z"
1332411606026706944,"We need a real plan for our province - one that gets our community transmission numbers down, while supporting small businesses so more don’t have to close their doors for good. (2/2) #skpoli #covid19sk

https://t.co/BfBBIOYP8h","2020-11-27T19:50:56.000Z"
1332405148459655168,"Happy Coffee and Wine was open for 5 months before COVID-19 hit Toronto. Now, the millennials in charge are adapting to survive. 
https://t.co/DEBHH7IPTd","2020-11-27T19:25:16.000Z"
1332404830824968194,"A Friday afternoon well spent jamming out to some amazing local Toronto talent while eating some of our favourite Downtown Yonge foods! Check out our COVID business map for details on who's open: https://t.co/URhX5nFwgB😍 #YongeLove #PlaytheParks  https://t.co/5xUqxtsCn9","2020-11-27T19:24:01.000Z"
1332404071823671296,"“(A mandatory mask order) doesn’t close a single business, it does not pose any significant impact on anybody’s personal rights, (it’s) a minor inconvenience that can make a significant difference in arresting the spread of COVID-19.”

#ableg #abpoli 

https://t.co/apJExDLJwF","2020-11-27T19:21:00.000Z"
1332399943496183811,"… up to 100 international, all-cargo flights a week.
        Trending  … help it competitively operate dedicated cargo aircraft and that ... - https://t.co/3VHKa9c4Qq","2020-11-27T19:04:35.000Z"
1332398867481042947,"Earlier this month @StatCan_eng released their 3rd wave of the Canadian Survey on Business Conditions, showing how dire the situation has become for Canada's restaurants as they struggle through the second wave of #COVID19. Read more of the stats: https://t.co/s4GUALWVot https://t.co/7d4PvTy6DP","2020-11-27T19:00:19.000Z"
1332396994137108480,"I love @GreatLakesBeer! They are a true socially conscious #SmallBusiness that believes in supporting their community and following public health advice!

If you want to support a worthy #Etobicoke business, support them!!! #Toronto #coronavirus #adamsonbarbeque https://t.co/Ngj4F26xrV","2020-11-27T18:52:52.000Z"
1332392997871292421,"This morning, Ontario Premier Doug Ford acknowledged our contribution of PPE in fighting the COVID-19 pandemic during a Zoom meeting with the local business community. Together, we can beat this virus! #3dprinted #ppe #covid19 #pandemic #ontario #spiritofontario #makersgonnahelp https://t.co/yOKA2Okch2","2020-11-27T18:37:00.000Z"
1332391810308726785,"@UsualSuspect4u @celliottability 1855 Covid cases in Ontario out of 14.73 million people. Your being brainwashed Canadians. The government is laughing at us. They have us all under control masked and shut down. Schools, liquor store and Costco open yet small business shut. Something doesn’t add up.","2020-11-27T18:32:16.000Z"
1332391738388967426,"Small and medium-sized businesses are vital to British Columbia's economy. The Small and Medium-Sized Business Recovery Grant program provides fully-funded grants to businesses to ensure they have the support they need during and beyond COVID-19. https://t.co/zoSOhQnh5S https://t.co/Axn6t7wWEx","2020-11-27T18:31:59.000Z"
